"FID","SSC_CODE","Cnt_SSC_CODE","First_SSC_NAME","Sum_LENGTH"
,"10014",6,"Adelong",1208.101585
,"10020",11,"Albury",2241.486451
,"10066",31,"Ashmont",3291.259918
,"10094",1,"Balranald",82.652198
,"10121",11,"Barooga",2036.240862
,"10134",2,"Batlow",177.307502
,"10149",7,"Bega",1830.693881
,"10170",1,"Bemboka",80.839302
,"10191",6,"Berrambool",856.290227
,"10193",1,"Berridale",25.805799
,"10221",2,"Binjura",52.900299
,"10268",7,"Bombala",1535.279603
,"10271",1,"Bombowlee",20.523799
,"10307",20,"Bourkelands",2570.992489
,"10308",1,"Bournda",1.209939
,"10391",3,"Bunyan",32.644346
,"10423",50,"Cabramurra",82020.811489
,"10510",5,"Charles Sturt University",1048.151977
,"10554",1,"Coleambally",128.457000
,"10573",2,"Conargo",749.548587
,"10599",30,"Cooma (NSW)",3234.350528
,"10624",2,"Corowa",147.020797
,"10658",1,"Culcairn",511.873992
,"10694",2,"Darlington Point",66.960397
,"10708",7,"Deniliquin",1123.070594
,"10764",2,"East Albury",89.994598
,"10783",6,"East Wagga Wagga",1297.765022
,"10791",4,"Eden",663.040601
,"10839",5,"Estella",1161.644981
,"10903",8,"Forest Hill (NSW)",911.680019
,"10965",32,"Glenfield Park",3902.848876
,"10975",1,"Glenroy (Albury - NSW)",76.792098
,"10982",1,"Gobarralong",33.774299
,"11005",6,"Grahamstown",722.361686
,"11046",15,"Gundagai",1886.142446
,"11068",1,"Hamilton Valley",760.008972
,"11175",13,"Jerilderie",2313.635736
,"11207",29,"Kapooka",2832.087882
,"11235",3,"Khancoban",3817.130981
,"11236",4,"Kiah",13902.739990
,"11281",15,"Kooringal (NSW)",1068.993005
,"11285",35,"Kosciuszko National Park",31507.100645
,"11310",21,"Lake Albert",7578.483536
,"11325",11,"Lalalty",2268.254201
,"11393",4,"Lloyd",595.489994
,"11519",2,"Merimbula",126.025001
,"11563",42,"Moama",5320.248464
,"11592",25,"Moorong",8215.805601
,"11607",4,"Moulamein",939.619979
,"11610",37,"Mount Austin",3892.728549
,"11645",3,"Mullengandra",1300.209030
,"11705",1,"Nerrigundah",2898.409912
,"11768",31,"North Wagga Wagga",4532.221161
,"11782",1,"Numeralla",26.323299
,"11787",17,"Nurenmerenmong",18025.823932
,"11914",2,"Providence Portal",236.195499
,"11980",2,"Rock Flat",8.220820
,"12069",2,"Shannons Flat",61.417400
,"12113",1,"South Pambula",98.881500
,"12137",10,"Springvale (Wagga Wagga - NSW)",2359.384625
,"12201",2,"Talbingo",137.937099
,"12227",4,"Tathra",327.295690
,"12228",24,"Tatton",2541.206701
,"12265",6,"The Rock",3498.567977
,"12276",8,"Thurgoona",1786.435853
,"12285",9,"Tocumwal",1588.783210
,"12286",23,"Tolland",3980.357354
,"12292",18,"Tooma",14041.045110
,"12320",17,"Tumbarumba",8408.120763
,"12324",48,"Tumut",8894.009671
,"12326",2,"Tura Beach",341.216003
,"12331",43,"Turvey Park",4130.284547
,"12378",42,"Wagga Wagga",8378.469941
,"12448",4,"Wee Jasper",3563.380126
,"12467",5,"West Albury",1647.334259
,"12527",1,"Wirlinga",14.586099
,"12540",3,"Wondalga",86.681303
,"12568",1,"Woomargama",1509.430053
,"20001",33,"Abbotsford (Vic.)",4072.195031
,"20002",11,"Aberfeldie",3546.397493
,"20004",12,"Aireys Inlet",4102.824714
,"20005",19,"Airport West",2353.455754
,"20006",7,"Albanvale",476.993106
,"20007",88,"Albert Park (Vic.)",17565.950316
,"20008",13,"Alberton (Vic.)",7934.251026
,"20009",12,"Albion (Vic.)",2413.003501
,"20010",39,"Alexandra (Vic.)",38197.805932
,"20015",25,"Alphington",4206.247288
,"20016",50,"Altona (Vic.)",18402.123937
,"20017",109,"Altona Meadows",17656.358695
,"20018",8,"Altona North",2074.550724
,"20021",56,"Anglesea",8219.942439
,"20023",1,"Apsley (Vic.)",956.357971
,"20024",3,"Ararat",1675.316635
,"20025",23,"Arcadia (Vic.)",1003.465400
,"20026",37,"Ardeer",4419.144726
,"20027",5,"Ardmona",244.058498
,"20028",9,"Armadale (Vic.)",849.923597
,"20030",29,"Arthurs Seat",6110.479836
,"20031",1,"Ascot (Ballarat - Vic.)",222.722000
,"20033",16,"Ascot Vale",2820.972168
,"20034",11,"Ashbourne (Vic.)",4218.081901
,"20035",22,"Ashburton",3739.735906
,"20036",24,"Ashwood",3305.938367
,"20037",35,"Aspendale",5608.076592
,"20038",53,"Aspendale Gardens",9526.776361
,"20040",5,"Attwood",1403.595943
,"20041",19,"Avalon (Vic.)",18057.014266
,"20043",2,"Avoca (Vic.)",83.618398
,"20044",29,"Avondale Heights",11087.478889
,"20047",1,"Axedale",801.549011
,"20048",14,"Bacchus Marsh",3043.004821
,"20049",2,"Baddaginnie",149.236900
,"20050",9,"Badger Creek",1705.190978
,"20051",6,"Bagshot",4600.176728
,"20053",11,"Bairnsdale",1490.187313
,"20056",14,"Ballan",6966.431610
,"20057",8,"Ballarat Central",698.957940
,"20058",20,"Ballarat East",1486.913869
,"20061",23,"Balliang",11261.442921
,"20063",3,"Balmoral (Vic.)",995.372810
,"20064",31,"Balnarring",9836.580162
,"20065",9,"Balnarring Beach",289.127126
,"20066",15,"Balwyn",1303.391651
,"20067",67,"Balwyn North",8828.512425
,"20070",10,"Bandiana",4600.195112
,"20071",7,"Bangholme",4698.343879
,"20073",5,"Baranduda",731.545310
,"20075",11,"Barjarg",12191.394065
,"20079",28,"Barnawartha North",9612.061618
,"20080",2,"Barongarook",5506.950195
,"20083",1,"Barwon Downs",1075.239990
,"20084",8,"Barwon Heads",1758.019561
,"20085",21,"Bass",10099.322108
,"20087",53,"Baw Baw (Vic.)",74294.466975
,"20088",30,"Baw Baw Village",8761.219629
,"20089",1,"Baxter",0.007460
,"20092",32,"Bayswater (Vic.)",5680.134165
,"20093",28,"Bayswater North",4037.812560
,"20094",6,"Beaconsfield (Vic.)",1398.367614
,"20095",3,"Beaconsfield Upper",642.765396
,"20096",2,"Bealiba",1201.095977
,"20098",6,"Beaufort (Vic.)",2227.805393
,"20099",24,"Beaumaris (Vic.)",5264.632093
,"20101",22,"Beech Forest",14028.331088
