"FID","SSC_CODE","Cnt_SSC_CODE","First_SSC_NAME","Sum_AREA"
,"10117",1,"Barham",0.003967
,"11325",1,"Lalalty",0.000998
,"12123",1,"Speewa (NSW)",0.005228
,"20001",1,"Abbotsford (Vic.)",1.562440
,"20002",1,"Aberfeldie",1.551509
,"20004",1,"Aireys Inlet",1.372079
,"20005",1,"Airport West",3.719239
,"20006",1,"Albanvale",1.805559
,"20007",1,"Albert Park (Vic.)",3.396130
,"20009",1,"Albion (Vic.)",2.563859
,"20010",2,"Alexandra (Vic.)",1.477788
,"20011",1,"Alfredton",2.001329
,"20015",1,"Alphington",2.014430
,"20016",1,"Altona (Vic.)",10.101200
,"20017",1,"Altona Meadows",6.573500
,"20018",1,"Altona North",12.194999
,"20021",2,"Anglesea",3.631408
,"20022",1,"Apollo Bay (Vic.)",1.663499
,"20023",1,"Apsley (Vic.)",0.598752
,"20024",3,"Ararat",3.710362
,"20026",1,"Ardeer",1.623649
,"20028",1,"Armadale (Vic.)",2.182719
,"20030",1,"Arthurs Seat",0.025542
,"20032",2,"Ascot (Greater Bendigo - Vic.)",1.139522
,"20033",1,"Ascot Vale",3.835449
,"20035",1,"Ashburton",2.854599
,"20036",1,"Ashwood",2.633349
,"20037",1,"Aspendale",2.246670
,"20038",1,"Aspendale Gardens",1.736039
,"20040",1,"Attwood",0.890419
,"20042",1,"Avenel",0.604233
,"20043",1,"Avoca (Vic.)",0.724251
,"20044",1,"Avondale Heights",4.929520
,"20045",2,"Avonsleigh",0.319281
,"20048",1,"Bacchus Marsh",3.028389
,"20050",1,"Badger Creek",0.032258
,"20053",2,"Bairnsdale",5.003458
,"20054",1,"Bakery Hill",0.227153
,"20055",1,"Balaclava (Vic.)",0.805072
,"20056",1,"Ballan",1.017030
,"20057",1,"Ballarat Central",3.375849
,"20058",2,"Ballarat East",2.607726
,"20059",2,"Ballarat North",1.819059
,"20064",5,"Balnarring",2.300926
,"20065",2,"Balnarring Beach",0.876916
,"20066",1,"Balwyn",4.403749
,"20067",1,"Balwyn North",7.932000
,"20070",1,"Bandiana",1.114940
,"20072",1,"Bannockburn (Vic.)",6.647789
,"20073",1,"Baranduda",1.600440
,"20079",2,"Barnawartha North",0.001100
,"20084",1,"Barwon Heads",2.800740
,"20085",1,"Bass",0.005706
,"20089",1,"Baxter",0.512603
,"20092",1,"Bayswater (Vic.)",7.663229
,"20093",1,"Bayswater North",6.044640
,"20094",2,"Beaconsfield (Vic.)",2.488582
,"20098",1,"Beaufort (Vic.)",0.826861
,"20099",1,"Beaumaris (Vic.)",4.951670
,"20102",1,"Beechworth",0.914294
,"20103",1,"Belgrave",3.937119
,"20104",1,"Belgrave Heights",1.624909
,"20105",1,"Belgrave South",1.021530
,"20106",1,"Bell Park",3.118469
,"20107",1,"Bell Post Hill",2.046370
,"20110",1,"Bellfield (Banyule - Vic.)",0.930760
,"20112",1,"Belmont (Vic.)",7.576960
,"20115",3,"Benalla",4.480832
,"20118",2,"Bendigo",4.758183
,"20120",1,"Bentleigh",4.611249
,"20121",1,"Bentleigh East",9.186690
,"20125",3,"Berwick",19.588985
,"20129",1,"Bethanga",0.507080
,"20130",1,"Beulah (Vic.)",0.020546
,"20136",1,"Birchip",0.655849
,"20139",3,"Bittern",5.746099
,"20140",1,"Black Hill (Vic.)",1.077589
,"20141",1,"Black Rock (Vic.)",3.515810
,"20142",1,"Blackburn",5.898310
