SSC_CODE,SSC_NAME,Self_Reporting_Health_as_Excellent_or_Very Good,Feeling_Part_of_Community,Unemployment,Participation_in_Citizen_Engagement_Activities_Last_12_Months,Active_Community_Where_People_Get_Involved_In_Local_Issues
10020,Albury,0.479,0.758,0.075,0.53,0.748
10094,Balranald,0.459,0.804,0.049,0.656,0.631
10117,Barham,0.393,0.814,0.042,0.72,0.795
10121,Barooga,0.402,0.767,0.067,0.56,0.758
10290,Boomanoomana,0.402,0.767,0.067,0.56,0.758
10388,Bungowannah,0.479,0.758,0.075,0.53,0.748
10393,Buronga,0.481,0.775,0.075,0.529,0.729
10560,Collendina,0.402,0.767,0.067,0.56,0.758
10602,Coomealla,0.481,0.775,0.075,0.529,0.729
10624,Corowa,0.528,0.769,0.047,0.658,0.75
10669,Curlwaa,0.481,0.775,0.075,0.529,0.729
10686,Dareton,0.481,0.775,0.075,0.529,0.729
10703,Delegate,0.434,0.767,0.06,0.622,0.674
10764,East Albury,0.479,0.758,0.075,0.53,0.748
10811,Ellerslie (Wentworth - NSW),0.481,0.775,0.075,0.529,0.729
10853,Euston,0.459,0.804,0.049,0.656,0.631
10986,Gol Gol,0.481,0.775,0.075,0.529,0.729
10989,Goodnight,0.459,0.804,0.049,0.656,0.631
11138,Howlong,0.528,0.769,0.047,0.658,0.75
11186,Jingellic,0.546,0.805,0.058,0.582,0.724
11235,Khancoban,0.546,0.805,0.058,0.582,0.724
11236,Kiah,0.434,0.767,0.06,0.622,0.674
11283,Koraleigh,0.459,0.804,0.049,0.656,0.631
11285,Kosciuszko National Park,0.434,0.767,0.06,0.622,0.674
11325,Lalalty,0.402,0.767,0.067,0.56,0.758
11489,Mathoura,0.402,0.767,0.067,0.56,0.758
11536,Mila,0.434,0.767,0.06,0.622,0.674
11563,Moama,0.459,0.773,0.064,0.6,0.746
11645,Mullengandra,0.546,0.805,0.058,0.582,0.724
11786,Nungatta,0.434,0.767,0.06,0.622,0.674
11787,Nurenmerenmong,0.546,0.805,0.058,0.582,0.724
11894,Pooncarie,0.481,0.775,0.075,0.529,0.729
12093,South Albury,0.479,0.758,0.075,0.53,0.748
12123,Speewa (NSW),0.459,0.804,0.049,0.656,0.631
12126,Splitters Creek,0.479,0.758,0.075,0.53,0.748
12285,Tocumwal,0.402,0.767,0.067,0.56,0.758
