"FID","SSC_CODE","Cnt_SSC_CODE","First_SSC_NAME","Sum_AREA"
,"10094",9,"Balranald",0.393905
,"10117",3,"Barham",0.203610
,"10121",1,"Barooga",0.000500
,"10290",3,"Boomanoomana",0.101533
,"10560",6,"Collendina",0.336125
,"10602",1,"Coomealla",0.001594
,"10624",4,"Corowa",0.268726
,"10669",1,"Curlwaa",0.000005
,"10686",1,"Dareton",0.001407
,"10764",1,"East Albury",0.006929
,"10811",12,"Ellerslie (Wentworth - NSW)",1.757754
,"10853",19,"Euston",0.408613
,"10986",1,"Gol Gol",0.085938
,"10989",1,"Goodnight",0.063178
,"11138",2,"Howlong",0.004382
,"11186",1,"Jingellic",0.002696
,"11235",1,"Khancoban",0.024254
,"11236",1,"Kiah",0.000598
,"11283",2,"Koraleigh",0.114632
,"11285",1,"Kosciuszko National Park",0.299116
,"11325",4,"Lalalty",0.072745
,"11420",2,"Lowesdale",1.113708
,"11489",4,"Mathoura",0.695035
,"11563",11,"Moama",0.157367
,"11650",1,"Mulwala",0.001401
,"11786",1,"Nungatta",0.030779
,"11787",1,"Nurenmerenmong",1.174340
,"11894",12,"Pooncarie",0.367215
,"12093",1,"South Albury",0.008267
,"12123",3,"Speewa (NSW)",0.077619
,"12285",7,"Tocumwal",0.084184
,"12292",1,"Tooma",0.000107
,"12456",3,"Wentworth (NSW)",0.019108
,"12527",1,"Wirlinga",0.000266
,"12568",1,"Woomargama",0.001719
,"20003",1,"Acheron",26.958799
,"20004",1,"Aireys Inlet",0.730481
,"20010",3,"Alexandra (Vic.)",94.113108
,"20011",1,"Alfredton",0.003456
,"20014",2,"Alma (Vic.)",8.624350
,"20019",5,"Amphitheatre",15.503527
,"20020",2,"Anakie",8.991989
,"20021",1,"Anglesea",1.447469
,"20023",2,"Apsley (Vic.)",6.491300
,"20024",5,"Ararat",22.792096
,"20025",6,"Arcadia (Vic.)",3.459519
,"20029",2,"Arthurs Creek",3.260306
,"20030",1,"Arthurs Seat",7.245560
,"20031",3,"Ascot (Ballarat - Vic.)",4.678398
,"20032",1,"Ascot (Greater Bendigo - Vic.)",9.599209
,"20034",2,"Ashbourne (Vic.)",42.098362
,"20042",17,"Avenel",30.100563
,"20043",4,"Avoca (Vic.)",17.224161
,"20045",2,"Avonsleigh",2.255911
,"20046",3,"Axe Creek",9.029062
,"20047",3,"Axedale",19.190520
,"20049",2,"Baddaginnie",0.540454
,"20050",3,"Badger Creek",23.017581
,"20051",5,"Bagshot",34.332639
,"20052",9,"Bailieston",217.362118
,"20053",2,"Bairnsdale",1.229483
,"20056",6,"Ballan",18.358591
,"20058",1,"Ballarat East",0.542405
,"20059",2,"Ballarat North",0.538700
,"20060",1,"Ballendella",0.744062
,"20061",1,"Balliang",29.134199
,"20062",10,"Balmattum",59.509488
,"20063",9,"Balmoral (Vic.)",32.256849
,"20070",1,"Bandiana",0.369652
,"20073",2,"Baranduda",3.501900
,"20074",2,"Baringhup",0.140744
,"20075",5,"Barjarg",124.341289
,"20076",3,"Barkers Creek",11.359212
,"20077",1,"Barmah",0.054547
,"20078",4,"Barnawartha",2.719039
,"20079",6,"Barnawartha North",6.418323
,"20080",2,"Barongarook",22.630789
,"20081",3,"Barongarook West",32.976921
,"20083",2,"Barwon Downs",122.789328
,"20084",1,"Barwon Heads",0.158259
,"20086",1,"Batesford",0.839448
,"20087",1,"Baw Baw (Vic.)",860.622009
,"20088",1,"Baw Baw Village",4.302470
,"20091",2,"Baynton (Vic.)",21.008361
,"20092",1,"Bayswater (Vic.)",0.000326
,"20094",1,"Beaconsfield (Vic.)",0.217435
,"20095",1,"Beaconsfield Upper",16.021799
,"20096",10,"Bealiba",68.200208
,"20097",1,"Bearii",2.458580
,"20098",4,"Beaufort (Vic.)",40.612585
,"20101",1,"Beech Forest",564.607971
,"20102",7,"Beechworth",86.217976
,"20103",1,"Belgrave",4.076529
,"20104",1,"Belgrave Heights",1.645409
,"20105",1,"Belgrave South",7.502200
,"20108",2,"Bellbrae",7.493994
,"20111",1,"Bells Beach",5.354849
,"20113",1,"Bemm River",2703.300048
,"20115",2,"Benalla",25.605900
,"20116",4,"Benambra",1479.852311
,"20117",1,"Bend Of Islands",6.088049
,"20119",8,"Bendoc",3754.010966
,"20122",2,"Beremboke",25.038195
,"20123",3,"Berringa",35.450171
,"20124",3,"Berriwillock",0.478334
,"20126",8,"Bessiebelle",46.646183
,"20127",6,"Bet Bet",42.049962
,"20128",4,"Bete Bolong",303.303281
,"20129",3,"Bethanga",9.759117
,"20130",6,"Beulah (Vic.)",188.316779
,"20132",3,"Beveridge",0.477236
,"20133",11,"Big Desert",4920.482066
,"20134",1,"Big Hill (Greater Bendigo - Vic.)",9.719320
,"20135",8,"Binginwarri",161.608811
,"20139",1,"Bittern",0.005118
,"20140",1,"Black Hill (Vic.)",0.211665
,"20142",1,"Blackburn",1.757830
,"20144",1,"Blackburn South",0.005265
,"20145",1,"Blackwood (Vic.)",5.529789
,"20147",1,"Blampied",2.300090
,"20149",2,"Boisdale",429.075972
,"20150",3,"Bolwarra (Vic.)",4.713370
,"20152",6,"Bonegilla",7.405293
,"20153",7,"Boneo",18.715347
,"20154",5,"Bonnie Doon (Vic.)",59.781718
,"20157",8,"Boolarra",13.088888
,"20158",5,"Boolarra South",87.263406
,"20159",2,"Boole Poole",0.096923
,"20161",2,"Boorhaman",19.222269
,"20162",6,"Boort",15.108391
,"20163",1,"Boronia",0.767439
,"20164",1,"Bostocks Creek",1.001839
,"20165",1,"Botanic Ridge",1.230550
,"20166",21,"Boundary Bend",71.024804
,"20167",5,"Bowenvale",21.944015
,"20174",1,"Breakwater",0.356698
,"20175",3,"Breamlea",2.819534
,"20176",5,"Briagolong",158.562009
,"20177",2,"Briar Hill",0.417476
,"20180",1,"Bright (Vic.)",4.024919
,"20184",15,"Brimpaen",209.769002
,"20185",6,"Broadford",4.566547
,"20187",2,"Broadwater (Vic.)",0.558601
,"20190",1,"Broomfield",3.889209
,"20191",1,"Brown Hill (Vic.)",29.634300
,"20192",3,"Brucknell",1.883349
,"20196",1,"Bruthen",44.123500
,"20197",5,"Buangor",113.946857
,"20198",4,"Buchan",980.093075
,"20199",5,"Budgeree",203.048158
,"20200",2,"Buffalo",1.103303
,"20201",1,"Buffalo River",1374.060058
,"20202",4,"Bulart",9.048746
,"20205",1,"Bullengarook",51.316501
,"20206",5,"Bullioh",215.803575
,"20208",2,"Buln Buln East",5.921445
,"20209",1,"Bunbartha",6.959000
,"20210",2,"Bundalaguah",0.859390
,"20211",2,"Bundalong",16.066230
,"20212",1,"Bundoora (Vic.)",0.565993
,"20213",3,"Bungaree (Vic.)",2.399244
,"20214",4,"Buninyong",6.574694
,"20215",1,"Bunkers Hill",1.127030
,"20220",3,"Burramine",17.941740
,"20221",1,"Burrumbeet",0.349671
,"20225",1,"Buxton (Vic.)",0.186618
,"20226",2,"Byaduk",45.315699
,"20227",1,"Byawatha",16.258600
,"20229",1,"Cabarita (Vic.)",0.767805
,"20233",2,"California Gully",0.619728
,"20234",1,"Calivil",13.497300
,"20235",2,"Callignee",41.254558
,"20236",5,"Calulu",35.970425
,"20240",2,"Campbells Creek",1.567501
