"FID","SSC_CODE","Cnt_SSC_CODE","First_SSC_NAME","Sum_AREA"
,"10094",2,"Balranald",0.748731
,"10117",3,"Barham",0.592983
,"10121",1,"Barooga",0.023269
,"10290",1,"Boomanoomana",0.025752
,"10388",2,"Bungowannah",0.006204
,"10560",6,"Collendina",1.641865
,"10602",3,"Coomealla",0.151003
,"10624",3,"Corowa",0.570052
,"10669",1,"Curlwaa",0.178635
,"10686",1,"Dareton",0.001408
,"10764",1,"East Albury",0.009094
,"10811",3,"Ellerslie (Wentworth - NSW)",0.870313
,"10853",2,"Euston",1.060738
,"10986",3,"Gol Gol",0.237842
,"10989",1,"Goodnight",0.162129
,"11235",1,"Khancoban",0.029589
,"11236",2,"Kiah",0.085140
,"11285",1,"Kosciuszko National Park",0.251839
,"11325",1,"Lalalty",0.219023
,"11420",2,"Lowesdale",0.210411
,"11489",3,"Mathoura",1.098866
,"11563",4,"Moama",0.837697
,"11645",1,"Mullengandra",1.465049
,"11650",1,"Mulwala",0.028273
,"11786",2,"Nungatta",0.134493
,"11787",2,"Nurenmerenmong",1.181053
,"11894",6,"Pooncarie",1.110016
,"12126",2,"Splitters Creek",0.009112
,"12285",3,"Tocumwal",0.255543
,"12292",2,"Tooma",0.147800
,"12456",1,"Wentworth (NSW)",0.003064
,"12527",2,"Wirlinga",0.472802
,"12568",2,"Woomargama",0.757072
,"20001",1,"Abbotsford (Vic.)",0.236416
,"20003",6,"Acheron",15.988285
,"20004",2,"Aireys Inlet",0.089370
,"20005",1,"Airport West",0.022494
,"20007",1,"Albert Park (Vic.)",1.950909
,"20008",4,"Alberton (Vic.)",2.631541
,"20010",8,"Alexandra (Vic.)",57.290725
,"20011",3,"Alfredton",0.922699
,"20012",2,"Allansford",1.098704
,"20014",3,"Alma (Vic.)",5.285412
,"20016",6,"Altona (Vic.)",2.632997
,"20017",4,"Altona Meadows",3.223280
,"20018",2,"Altona North",1.096188
,"20019",3,"Amphitheatre",9.516337
,"20020",1,"Anakie",0.043036
,"20021",6,"Anglesea",0.651691
,"20022",2,"Apollo Bay (Vic.)",0.541266
,"20023",5,"Apsley (Vic.)",11.949568
,"20024",9,"Ararat",30.579752
,"20025",1,"Arcadia (Vic.)",2.355020
,"20029",2,"Arthurs Creek",0.114699
,"20030",2,"Arthurs Seat",2.500597
,"20031",1,"Ascot (Ballarat - Vic.)",0.142088
,"20032",1,"Ascot (Greater Bendigo - Vic.)",9.160420
,"20034",2,"Ashbourne (Vic.)",26.453085
,"20037",1,"Aspendale",0.004264
,"20040",2,"Attwood",0.862477
,"20041",7,"Avalon (Vic.)",60.122930
,"20042",4,"Avenel",2.877103
,"20043",4,"Avoca (Vic.)",18.542319
,"20046",4,"Axe Creek",6.202961
,"20047",5,"Axedale",13.350072
,"20049",1,"Baddaginnie",0.086006
,"20050",7,"Badger Creek",8.153534
,"20051",3,"Bagshot",25.916451
,"20052",10,"Bailieston",198.629978
,"20053",4,"Bairnsdale",7.840114
,"20056",7,"Ballan",10.082714
,"20058",1,"Ballarat East",0.158236
,"20059",1,"Ballarat North",0.126757
,"20061",3,"Balliang",24.421850
,"20062",5,"Balmattum",15.971592
,"20063",10,"Balmoral (Vic.)",21.864934
,"20064",2,"Balnarring",0.703510
,"20065",1,"Balnarring Beach",0.010051
,"20067",1,"Balwyn North",0.396151
,"20070",3,"Bandiana",1.552337
,"20073",2,"Baranduda",2.155665
,"20074",2,"Baringhup",7.556837
,"20075",13,"Barjarg",111.980986
,"20076",3,"Barkers Creek",6.841513
,"20077",1,"Barmah",0.037930
,"20078",3,"Barnawartha",1.414168
,"20079",5,"Barnawartha North",23.512670
,"20080",3,"Barongarook",14.655080
,"20081",3,"Barongarook West",24.555905
,"20083",6,"Barwon Downs",100.774879
,"20084",3,"Barwon Heads",1.424856
,"20085",3,"Bass",2.068668
,"20087",7,"Baw Baw (Vic.)",882.363388
,"20088",3,"Baw Baw Village",4.302463
,"20091",2,"Baynton (Vic.)",4.557057
,"20094",2,"Beaconsfield (Vic.)",0.009855
,"20095",2,"Beaconsfield Upper",0.039625
,"20096",8,"Bealiba",60.213790
,"20097",1,"Bearii",2.461539
,"20098",4,"Beaufort (Vic.)",12.415403
,"20099",2,"Beaumaris (Vic.)",0.003920
,"20100",1,"Beeac",0.023733
,"20101",20,"Beech Forest",387.207129
