"FID","SSC_CODE","Cnt_SSC_CODE","First_SSC_NAME","Sum_LENGTH"
,"10020",1,"Albury",137.591003
,"10066",2,"Ashmont",2389.905797
,"10094",5,"Balranald",40335.098876
,"10117",1,"Barham",1.153949
,"10134",3,"Batlow",6639.072975
,"10176",1,"Benerembah",6.015470
,"10194",13,"Berrigan",22304.029655
,"10204",2,"Bibbenluke",767.079986
,"10207",1,"Big Springs",263.326995
,"10268",3,"Bombala",2088.274993
,"10272",1,"Bomen",6683.479980
,"10290",5,"Boomanoomana",2763.641658
,"10299",4,"Borambola",22675.300451
,"10300",8,"Boree Creek",62710.090606
,"10331",27,"Bredbo",24182.569361
,"10345",1,"Brocklesby",9720.209960
,"10351",2,"Brookdale (NSW)",19167.489599
,"10384",6,"Bungarby",47502.850423
,"10391",34,"Bunyan",19629.806940
,"10407",3,"Burrumbuttock",13773.683027
,"10428",34,"Calimo",28409.884817
,"10460",1,"Captains Flat",8119.379882
,"10560",1,"Collendina",15052.099609
,"10589",2,"Cookardinia",8343.373268
,"10593",1,"Coolac",6340.680175
,"10599",33,"Cooma (NSW)",13637.746549
,"10620",2,"Coreen",28138.489257
,"10624",1,"Corowa",4631.770019
,"10658",20,"Culcairn",36987.156406
,"10708",5,"Deniliquin",6974.910694
,"10764",10,"East Albury",7482.455578
,"10783",7,"East Wagga Wagga",3490.578842
,"10891",11,"Finley",20059.038989
,"10903",6,"Forest Hill (NSW)",4417.420787
,"10934",1,"Gerogery",14331.000000
,"10943",2,"Gillenbah",20014.370361
,"10945",6,"Gilmore (NSW)",33199.793714
,"10976",1,"Glenroy (Tumbarumba - NSW)",8438.900390
,"11005",11,"Grahamstown",13313.346232
,"11035",1,"Grong Grong",494.566986
,"11044",1,"Gumly Gumly",2014.969970
,"11046",2,"Gundagai",3218.403991
,"11099",7,"Henty (NSW)",15477.745553
,"11120",5,"Holbrook",13266.858785
,"11140",1,"Humula",13790.099609
,"11175",7,"Jerilderie",44456.066968
,"11207",1,"Kapooka",3752.360107
,"11281",2,"Kooringal (NSW)",1758.092844
,"11285",7,"Kosciuszko National Park",2497.509399
,"11306",1,"Ladysmith",414.627014
,"11348",13,"Leeton",19113.662696
,"11396",6,"Lockhart (NSW)",50131.505546
,"11400",1,"Logie Brae",10959.299804
,"11420",2,"Lowesdale",26706.900390
,"11489",9,"Mathoura",66727.530052
,"11526",1,"Merungle Hill",4126.020019
,"11530",28,"Michelago",33620.090391
,"11563",13,"Moama",36993.766943
,"11592",4,"Moorong",1154.515085
,"11607",24,"Moulamein",35028.318024
,"11645",2,"Mullengandra",2276.795532
,"11650",6,"Mulwala",5325.385115
,"11689",1,"Narrandera",186.003997
,"11728",2,"Nimmitabel",270.395815
,"11734",1,"North Albury",565.325012
,"11768",6,"North Wagga Wagga",3990.623207
,"11782",1,"Numeralla",273.303009
,"11795",1,"Oaklands",3375.489990
,"11820",1,"Oura",5927.979980
,"11884",7,"Pleasant Hills",41143.329423
,"11912",1,"Primrose Valley",2729.860107
,"11943",15,"Rand",61177.515701
,"11980",35,"Rock Flat",32956.904794
,"12003",1,"Rosewood (Tumbarumba - NSW)",8564.459960
,"12013",1,"Royalla",4230.259765
,"12093",9,"South Albury",1627.611614
,"12102",1,"South Gundagai",2708.139892
,"12137",2,"Springvale (Wagga Wagga - NSW)",1322.106994
,"12152",7,"Stanbridge",16410.189829
,"12196",7,"Table Top",12362.783838
,"12218",2,"Tarcutta",55218.000000
,"12265",8,"The Rock",17425.660882
,"12276",1,"Thurgoona",1892.800048
,"12285",14,"Tocumwal",11238.189222
,"12320",2,"Tumbarumba",8092.110076
,"12322",12,"Tumblong",18364.740919
,"12324",1,"Tumut",1759.410034
,"12331",6,"Turvey Park",1724.577297
,"12358",2,"Urana",1902.995971
,"12359",17,"Uranquinty",25159.382308
,"12378",6,"Wagga Wagga",1972.208042
