"FID","SSC_CODE","Cnt_SSC_CODE","First_SSC_NAME"
,"10020",1,"Albury"
,"10708",1,"Deniliquin"
,"11420",2,"Lowesdale"
,"11563",2,"Moama"
,"12285",1,"Tocumwal"
,"20001",2,"Abbotsford (Vic.)"
,"20007",1,"Albert Park (Vic.)"
,"20009",1,"Albion (Vic.)"
,"20010",1,"Alexandra (Vic.)"
,"20012",1,"Allansford"
,"20013",1,"Allendale"
,"20015",1,"Alphington"
,"20016",3,"Altona (Vic.)"
,"20018",2,"Altona North"
,"20024",1,"Ararat"
,"20025",1,"Arcadia (Vic.)"
,"20028",2,"Armadale (Vic.)"
,"20033",1,"Ascot Vale"
,"20035",2,"Ashburton"
,"20037",1,"Aspendale"
,"20042",3,"Avenel"
,"20043",1,"Avoca (Vic.)"
,"20049",1,"Baddaginnie"
,"20051",1,"Bagshot"
,"20053",1,"Bairnsdale"
,"20055",1,"Balaclava (Vic.)"
,"20056",1,"Ballan"
,"20060",1,"Ballendella"
,"20062",1,"Balmattum"
,"20063",1,"Balmoral (Vic.)"
,"20069",2,"Bamawm Extension"
,"20072",1,"Bannockburn (Vic.)"
,"20078",1,"Barnawartha"
,"20085",1,"Bass"
,"20089",1,"Baxter"
,"20092",1,"Bayswater (Vic.)"
,"20094",1,"Beaconsfield (Vic.)"
,"20096",1,"Bealiba"
,"20098",1,"Beaufort (Vic.)"
,"20101",1,"Beech Forest"
,"20102",1,"Beechworth"
,"20103",3,"Belgrave"
,"20115",1,"Benalla"
,"20120",2,"Bentleigh"
,"20124",3,"Berriwillock"
,"20125",1,"Berwick"
,"20127",2,"Bet Bet"
,"20128",1,"Bete Bolong"
,"20130",5,"Beulah (Vic.)"
,"20132",1,"Beveridge"
,"20136",1,"Birchip"
,"20138",1,"Birregurra"
,"20139",1,"Bittern"
,"20142",2,"Blackburn"
,"20151",1,"Bonbeach"
,"20152",2,"Bonegilla"
,"20154",1,"Bonnie Doon (Vic.)"
,"20160",2,"Boorcan"
,"20161",2,"Boorhaman"
,"20162",5,"Boort"
,"20163",1,"Boronia"
,"20166",1,"Boundary Bend"
,"20168",1,"Box Hill (Vic.)"
,"20172",1,"Branxholme"
,"20174",1,"Breakwater"
,"20179",1,"Bridgewater On Loddon"
,"20180",1,"Bright (Vic.)"
,"20181",4,"Brighton (Vic.)"
,"20183",2,"Brim"
,"20184",2,"Brimpaen"
,"20185",2,"Broadford"
,"20186",1,"Broadmeadows (Vic.)"
,"20193",3,"Brunswick (Vic.)"
,"20196",2,"Bruthen"
,"20197",2,"Buangor"
,"20200",1,"Buffalo"
,"20206",1,"Bullioh"
,"20213",1,"Bungaree (Vic.)"
,"20215",1,"Bunkers Hill"
,"20216",1,"Bunyip"
,"20221",1,"Burrumbeet"
,"20228",1,"Byrneside"
,"20232",2,"Caldermeade"
,"20234",2,"Calivil"
,"20237",5,"Camberwell (Vic.)"
,"20241",1,"Camperdown (Vic.)"
,"20245",1,"Canterbury (Vic.)"
,"20251",1,"Carapooee"
,"20256",1,"Cardross"
,"20257",2,"Carisbrook"
,"20258",1,"Carlsruhe"
,"20261",1,"Carnegie"
,"20265",1,"Carrum"
,"20268",1,"Casterton"
,"20270",1,"Castlemaine"
,"20272",2,"Cathcart (Vic.)"
,"20274",1,"Caulfield East"
,"20277",1,"Cavendish"
,"20280",3,"Charlton (Vic.)"
,"20281",1,"Chelsea"
,"20283",1,"Cheltenham (Vic.)"
,"20288",1,"Chiltern"
,"20295",1,"Clarkefield"
,"20296",1,"Clayton"
,"20297",1,"Clayton South"
,"20300",1,"Clifton Hill"
,"20304",1,"Clunes (Vic.)"
,"20305",1,"Clyde (Vic.)"
,"20307",1,"Cobden"
,"20308",1,"Cobram"
,"20311",2,"Coburg"
,"20312",2,"Coburg North"
,"20313",4,"Cockatoo (Vic.)"
,"20315",1,"Cohuna"
,"20317",1,"Colac"
,"20320",2,"Colbinabbin"
,"20321",2,"Coldstream (Vic.)"
,"20322",2,"Coleraine"
,"20326",2,"Condah"
,"20327",1,"Congupna"
,"20329",2,"Coolaroo"
,"20335",1,"Corio"
,"20342",1,"Cowwarr"
,"20343",1,"Craigieburn"
,"20344",1,"Cranbourne"
,"20346",1,"Cranbourne North"
,"20349",1,"Cremorne (Vic.)"
,"20350",1,"Cressy (Vic.)"
,"20351",2,"Creswick"
,"20352",3,"Crib Point"
,"20354",1,"Croydon (Vic.)"
,"20359",4,"Cudgewa"
,"20360",4,"Culgoa"
,"20365",1,"Dalyston"
,"20366",1,"Dandenong"
,"20368",2,"Dandenong South"
,"20371",1,"Darnum"
,"20373",1,"Dartmoor (Vic.)"
,"20374",1,"Daylesford"
,"20378",1,"Deep Lead"
,"20380",2,"Deer Park"
,"20381",1,"Delacombe"
,"20387",2,"Derrinallum"
