"FID","SSC_CODE","Cnt_SSC_CODE","Sum_LENGTH"
,"10117",2,0.019863
,"10624",1,4.450540
,"11235",1,72.375701
,"11236",1,5.040339
,"11786",1,1.806699
,"12123",1,9.043040
,"12285",1,0.036248
,"12291",1,0.011167
,"20001",7,3931.599943
,"20002",3,1589.398136
,"20003",6,35086.219421
,"20004",1,2832.179931
,"20005",5,2169.708216
,"20006",1,938.255004
,"20007",12,8414.157354
,"20008",6,13375.128112
,"20009",3,2650.407974
,"20010",17,62789.849580
,"20011",8,10222.054888
,"20012",21,51821.661563
,"20013",9,20104.408472
,"20014",1,5702.140136
,"20015",4,2547.685219
,"20016",9,18828.496148
,"20017",4,5347.559936
,"20018",11,17879.165054
,"20019",6,33971.324455
,"20020",4,24380.372726
,"20021",1,4664.379882
,"20022",2,3951.515075
,"20023",13,77963.685696
,"20024",11,52839.854614
,"20025",7,27967.732743
,"20026",4,4487.360961
,"20027",8,29169.472290
,"20028",11,8566.344243
,"20029",8,22856.002229
,"20030",4,8274.254993
,"20031",23,76411.520110
,"20032",10,8901.392596
,"20033",8,5414.196508
,"20034",4,6177.226296
,"20035",2,2541.558044
,"20036",3,2809.172073
,"20037",2,3268.888103
,"20038",3,4445.235046
,"20039",4,12728.485107
,"20040",1,1627.469970
,"20041",12,42614.090560
,"20042",28,87588.975739
,"20043",13,47138.124286
,"20044",1,3113.929931
,"20045",3,4047.305114
,"20046",4,18965.320068
,"20047",8,37780.058776
,"20048",5,8498.801177
,"20049",12,56438.316131
,"20050",9,17154.508935
,"20051",11,33728.319679
,"20052",22,142324.964126
,"20053",6,30514.469482
,"20054",14,1628.330991
,"20055",6,3181.136280
,"20056",18,77282.951873
,"20057",14,9123.564365
,"20058",9,9241.777633
,"20059",6,4301.893727
,"20060",14,43874.722839
,"20061",7,36754.529541
,"20062",13,73189.683410
,"20063",17,102568.259553
,"20064",18,44672.792203
,"20065",2,603.724014
,"20066",8,7347.199129
,"20067",13,14091.481154
,"20068",7,26141.063101
,"20069",9,46579.122253
,"20070",2,5235.523742
,"20071",9,20785.471274
,"20072",2,7262.959960
,"20073",2,10072.590087
,"20074",23,104389.070238
,"20075",9,54874.212516
,"20076",11,15918.708959
,"20077",6,1359.120181
,"20078",14,53093.475189
,"20079",2,17489.610107
,"20080",3,6470.902031
,"20081",9,36031.527776
,"20082",4,8394.967895
,"20083",2,23332.710449
,"20084",1,2081.629882
,"20085",6,22158.164970
,"20086",2,4488.447937
,"20087",20,140696.177330
,"20088",2,6874.973876
,"20089",10,13037.543983
,"20090",5,10162.788910
,"20091",14,60571.109539
,"20092",6,10645.070359
,"20093",4,8185.944030
,"20094",9,9044.685867
,"20095",4,9125.926268
,"20096",20,99826.013732
,"20097",3,1522.680999
,"20098",13,56864.664466
,"20099",4,6225.685981
,"20100",3,2084.492940
,"20101",16,138957.717342
,"20102",7,33167.947692
,"20103",11,7027.017281
,"20104",6,2484.339965
,"20105",4,6440.372985
,"20106",7,6510.741250
,"20107",5,5648.857359
,"20108",6,15974.264192
,"20109",1,1306.010009
,"20110",2,1775.841979
,"20111",5,5625.420043
,"20112",8,9057.304004
,"20113",29,340317.331405
,"20114",3,13387.229858
,"20115",23,125125.020462
,"20116",12,155574.555715
,"20118",13,11783.594461
,"20119",45,517105.700742
,"20120",8,8049.924486
,"20121",10,13238.052460
,"20122",8,47634.812164
,"20123",12,42751.224018
,"20124",40,249675.455430
,"20125",16,31918.893173
,"20126",7,61396.939331
,"20127",24,94917.311622
,"20128",12,65751.093917
,"20129",23,70919.824203
,"20130",33,294922.241398
,"20131",3,12133.489608
,"20132",4,13263.736626
,"20133",7,83057.573575
,"20134",3,4895.385208
,"20135",17,86097.718322
,"20136",5,5545.759948
,"20137",3,4946.089965
,"20138",8,40456.334075
,"20139",9,15117.568018
,"20140",4,1767.119855
,"20141",4,5968.718811
,"20142",8,10973.955066
,"20143",3,3204.806930
,"20144",4,2439.834510
,"20145",1,2379.919921
,"20146",3,7154.550048
,"20147",5,20572.620117
,"20149",7,20323.092899
,"20150",10,26590.557754
,"20151",1,1452.260009
,"20152",2,13901.999511
,"20153",9,30228.079956
,"20154",4,31121.219726
,"20155",5,3394.336029
,"20156",5,34984.487789
,"20157",6,21197.508476
,"20158",11,35649.991550
,"20160",12,52885.564544
,"20161",3,29553.890625
,"20162",43,241189.579528
,"20163",9,14021.405190
,"20164",9,29011.195495
,"20165",1,90.468597
,"20166",5,88555.260253
,"20167",12,38210.297763
,"20168",7,6104.848485
,"20169",5,5190.514893
,"20170",5,4942.093856
,"20172",22,113942.068932
,"20173",9,8731.388840
,"20174",6,3622.782698
,"20175",1,7142.080078
,"20176",9,59759.878356
,"20177",2,2677.739990
,"20178",20,90534.661768
,"20179",10,5708.195856
,"20180",3,9101.810058
,"20181",10,17349.480068
,"20182",11,12350.041621
,"20183",32,180137.224347
,"20184",12,99293.098231
,"20185",18,55637.703458
,"20186",7,12906.079282
,"20187",9,49028.762001
,"20188",2,4430.957695
,"20189",10,9110.489240
,"20190",7,10135.132064
,"20191",20,29836.877433
,"20192",8,35178.077720
,"20193",17,12681.156154
,"20194",9,6369.556082
,"20195",13,9916.765706
,"20196",6,23560.434654
,"20197",14,93408.153482
,"20198",13,182477.791015
,"20199",12,68040.766276
,"20200",13,48542.832941
,"20201",6,56958.243835
,"20202",22,103827.663313
,"20203",9,11969.658386
,"20204",8,9433.570983
,"20205",1,10493.000000
,"20206",6,67070.847311
,"20207",7,14717.023757
,"20208",1,4640.189941
,"20209",5,22709.776123
,"20210",3,8982.197540
,"20211",5,43446.316223
,"20212",11,13647.696540
,"20213",22,50437.575012
,"20214",13,19317.882781
,"20215",9,14150.788841
,"20216",15,17281.495188
,"20217",6,4071.352340
,"20220",10,57067.924308
,"20221",16,35823.934084
,"20222",11,10984.925122
,"20223",5,5382.316191
