SSC_CODE,SSC_NAME,Sport_Facilities
20001,Abbotsford (Vic.),6
20002,Aberfeldie,11
20004,Aireys Inlet,6
20005,Airport West,11
20006,Albanvale,1
20007,Albert Park (Vic.),32
20009,Albion (Vic.),9
20010,Alexandra (Vic.),17
20011,Alfredton,7
20012,Allansford,9
20015,Alphington,9
20016,Altona (Vic.),18
20017,Altona Meadows,21
20018,Altona North,29
20019,Amphitheatre,3
20020,Anakie,3
20021,Anglesea,11
20022,Apollo Bay (Vic.),11
20023,Apsley (Vic.),5
20024,Ararat,33
20025,Arcadia (Vic.),1
20026,Ardeer,3
20027,Ardmona,3
20028,Armadale (Vic.),9
20029,Arthurs Creek,1
20032,Ascot (Greater Bendigo - Vic.),2
20033,Ascot Vale,17
20035,Ashburton,20
20036,Ashwood,9
20037,Aspendale,12
20039,Athlone,1
20041,Avalon (Vic.),1
20042,Avenel,7
20043,Avoca (Vic.),8
20044,Avondale Heights,6
20047,Axedale,4
20048,Bacchus Marsh,7
20050,Badger Creek,1
20051,Bagshot,2
20053,Bairnsdale,25
20056,Ballan,9
20057,Ballarat Central,13
20058,Ballarat East,15
20059,Ballarat North,12
20062,Balmattum,1
20063,Balmoral (Vic.),6
20064,Balnarring,6
20065,Balnarring Beach,2
20066,Balwyn,5
20067,Balwyn North,36
20068,Bamawm,7
20069,Bamawm Extension,3
20070,Bandiana,1
20071,Bangholme,4
20072,Bannockburn (Vic.),22
20073,Baranduda,4
20074,Baringhup,3
20078,Barnawartha,4
20079,Barnawartha North,7
20080,Barongarook,2
20082,Barrabool,1
20083,Barwon Downs,3
20084,Barwon Heads,14
20085,Bass,3
20086,Batesford,3
20088,Baw Baw Village,1
20092,Bayswater (Vic.),23
20093,Bayswater North,8
20094,Beaconsfield (Vic.),13
20095,Beaconsfield Upper,8
20096,Bealiba,4
20098,Beaufort (Vic.),9
20099,Beaumaris (Vic.),18
20101,Beech Forest,5
20102,Beechworth,11
20103,Belgrave,4
20105,Belgrave South,4
20106,Bell Park,4
20107,Bell Post Hill,7
20108,Bellbrae,3
20109,Bellbridge,1
20110,Bellfield (Banyule - Vic.),4
20112,Belmont (Vic.),30
20113,Bemm River,1
20115,Benalla,28
20116,Benambra,3
20118,Bendigo,30
20120,Bentleigh,17
20121,Bentleigh East,31
20123,Berringa,2
20124,Berriwillock,7
20125,Berwick,21
20129,Bethanga,5
20130,Beulah (Vic.),9
20132,Beveridge,3
20134,Big Hill (Greater Bendigo - Vic.),1
20135,Binginwarri,2
20136,Birchip,12
20138,Birregurra,5
20139,Bittern,7
20140,Black Hill (Vic.),3
20141,Black Rock (Vic.),10
20142,Blackburn,11
20143,Blackburn North,4
20144,Blackburn South,6
20145,Blackwood (Vic.),1
20146,Blairgowrie,3
20149,Boisdale,3
20150,Bolwarra (Vic.),1
20151,Bonbeach,9
20152,Bonegilla,1
20153,Boneo,9
20154,Bonnie Doon (Vic.),3
20157,Boolarra,9
20161,Boorhaman,2
20162,Boort,11
20163,Boronia,36
20167,Bowenvale,1
20168,Box Hill (Vic.),27
20169,Box Hill North,6
20170,Box Hill South,7
20172,Branxholme,4
20173,Braybrook,20
20174,Breakwater,9
20175,Breamlea,4
20176,Briagolong,6
20179,Bridgewater On Loddon,6
20180,Bright (Vic.),14
20181,Brighton (Vic.),38
20182,Brighton East,16
20183,Brim,6
20184,Brimpaen,2
20185,Broadford,17
20186,Broadmeadows (Vic.),17
20188,Brookfield (Vic.),3
20189,Brooklyn (Vic.),2
20191,Brown Hill (Vic.),7
20193,Brunswick (Vic.),24
20194,Brunswick East,9
20195,Brunswick West,8
20196,Bruthen,6
20197,Buangor,3
20198,Buchan,6
20200,Buffalo,2
20203,Bulla (Vic.),3
20204,Bulleen,22
20205,Bullengarook,6
20207,Buln Buln,5
20209,Bunbartha,1
20211,Bundalong,1
20212,Bundoora (Vic.),36
20213,Bungaree (Vic.),2
20214,Buninyong,7
20216,Bunyip,10
20217,Burnley,11
20219,Burnside Heights,3
20221,Burrumbeet,2
20222,Burwood (Vic.),16
20223,Burwood East,11
20224,Bushfield,4
20225,Buxton (Vic.),1
20226,Byaduk,2
20227,Byawatha,1
20228,Byrneside,3
20229,Cabarita (Vic.),1
20230,Cairnlea,5
20233,California Gully,3
20234,Calivil,13
20235,Callignee,2
20237,Camberwell (Vic.),17
20239,Campbellfield,3
20240,Campbells Creek,7
20241,Camperdown (Vic.),18
20242,Canadian,1
20243,Cann River,2
20245,Canterbury (Vic.),2
20246,Cape Bridgewater,4
20247,Cape Paterson,4
20248,Cape Schanck,1
20249,Cape Woolamai,1
20250,Caramut,3
20251,Carapooee,2
20252,Carboor,2
20255,Cardinia,3
20256,Cardross,3
20257,Carisbrook,7
20259,Carlton (Vic.),13
20260,Carlton North,8
20261,Carnegie,17
20263,Caroline Springs,20
20265,Carrum,5
20266,Carrum Downs,14
20268,Casterton,15
20270,Castlemaine,28
20271,Catani,5
20272,Cathcart (Vic.),1
20273,Caulfield,2
20274,Caulfield East,9
20275,Caulfield North,11
20276,Caulfield South,13
20277,Cavendish,3
20278,Ceres,2
20279,Chadstone,6
20280,Charlton (Vic.),14
20281,Chelsea,9
20282,Chelsea Heights,9
20283,Cheltenham (Vic.),26
