name,br_rest
Altona Meadows,"[[""La Porchetta"", ""144.7771883011"", ""-37.8735322418"", ""Italian, Pizza"", ""3.2"", ""https://www.zomato.com/melbourne/la-porchetta-altona-meadows-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Barra Fish & Chips"", ""144.7850147000"", ""-37.8829079000"", ""Fish and Chips, Fast Food"", ""3.8"", ""https://www.zomato.com/melbourne/barra-fish-chips-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Noodles on the Run"", ""144.7765579820"", ""-37.8729351750"", ""Asian, Chinese"", ""3.0"", ""https://www.zomato.com/melbourne/noodles-on-the-run-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Papa's Pizza & Pasta"", ""144.7766416667"", ""-37.8729638889"", ""Italian"", ""2.7"", ""https://www.zomato.com/melbourne/papas-pizza-pasta-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Red Rock Charcoal Chicken"", ""144.7769639000"", ""-37.8736293000"", ""Fast Food, Charcoal Chicken"", ""2.5"", ""https://www.zomato.com/melbourne/red-rock-charcoal-chicken-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Hungry Jack's"", ""144.7736032000"", ""-37.8731245000"", ""Fast Food"", ""0"", ""https://www.zomato.com/melbourne/hungry-jacks-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Babylon Bakery"", ""144.7833813000"", ""-37.8686550000"", ""Middle Eastern, Fast Food"", ""0"", ""https://www.zomato.com/melbourne/babylon-bakery-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Fish Tails"", ""144.7762360000"", ""-37.8731150000"", ""Fish and Chips"", ""0"", ""https://www.zomato.com/melbourne/fish-tails-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""KFC"", ""144.7766277778"", ""-37.8718305556"", ""Fast Food"", ""0"", ""https://www.zomato.com/melbourne/kfc-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Alma Avenue Fish N Chips"", ""144.7832944444"", ""-37.8688472222"", ""Fish and Chips"", ""0"", ""https://www.zomato.com/melbourne/alma-avenue-fish-n-chips-altona-meadows?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Balwyn North,"[[""Dunyazad"", ""145.0959430000"", ""-37.7906390000"", ""Lebanese, Middle Eastern"", ""3.8"", ""https://www.zomato.com/melbourne/dunyazad-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Pure Italian"", ""145.0833503902"", ""-37.8034330616"", ""Italian, Cafe"", ""3.6"", ""https://www.zomato.com/melbourne/pure-italian-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Kunyit"", ""145.0935508311"", ""-37.7917306274"", ""Malaysian, Thai, Chinese"", ""3.8"", ""https://www.zomato.com/melbourne/kunyit-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Bar Sur Loup"", ""145.0773030000"", ""-37.7842990000"", ""European, French, Cafe"", ""3.9"", ""https://www.zomato.com/melbourne/bar-sur-loup-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""North Balwyn Fish n Chips"", ""145.0833740000"", ""-37.8033450000"", ""Fast Food, Fish and Chips"", ""4.1"", ""https://www.zomato.com/melbourne/north-balwyn-fish-n-chips-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Satguru's Balwyn"", ""145.0779270000"", ""-37.7835540000"", ""Indian"", ""3.1"", ""https://www.zomato.com/melbourne/satgurus-balwyn-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""The Village Cafe"", ""145.0718105212"", ""-37.7930407924"", ""Modern Australian, Cafe"", ""3.3"", ""https://www.zomato.com/melbourne/the-village-cafe-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Mattia"", ""145.0776370000"", ""-37.7844430000"", ""Italian, Pizza"", ""4.0"", ""https://www.zomato.com/melbourne/mattia-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Travelling Bandit"", ""145.0915513000"", ""-37.7914880000"", ""Cafe"", ""3.3"", ""https://www.zomato.com/melbourne/travelling-bandit-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Caffe Romeo"", ""145.0956087559"", ""-37.7910841471"", ""Cafe"", ""3.7"", ""https://www.zomato.com/melbourne/caffe-romeo-balwyn-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Bentleigh,"[[""Merchants Guild"", ""145.0567930000"", ""-37.9211140000"", ""Cafe, Healthy Food"", ""3.9"", ""https://www.zomato.com/melbourne/merchants-guild-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Little Tommy Tucker"", ""145.0380220000"", ""-37.9185060000"", ""Healthy Food, Cafe, Coffee and Tea"", ""3.9"", ""https://www.zomato.com/melbourne/little-tommy-tucker-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Sumalee"", ""145.0310610000"", ""-37.9178180000"", ""Thai"", ""4.5"", ""https://www.zomato.com/melbourne/sumalee-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""District Brewer"", ""145.0268990000"", ""-37.9211740000"", ""Cafe"", ""3.7"", ""https://www.zomato.com/melbourne/district-brewer-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Bent Espresso"", ""145.0378720000"", ""-37.9182010000"", ""Cafe, Coffee and Tea, Modern Australian"", ""3.8"", ""https://www.zomato.com/melbourne/bent-espresso-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Mexico City"", ""145.0309240000"", ""-37.9178030000"", ""Mexican"", ""4.5"", ""https://www.zomato.com/melbourne/mexico-city-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Swaad India's Zest"", ""145.0326370000"", ""-37.9173800000"", ""Indian"", ""4.3"", ""https://www.zomato.com/melbourne/swaad-indias-zest-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Astroluxe"", ""145.0612580000"", ""-37.9357330000"", ""Cafe"", ""3.2"", ""https://www.zomato.com/melbourne/astroluxe-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Mama's Kitchen"", ""145.0240770000"", ""-37.9164310000"", ""Thai, Vietnamese"", ""3.6"", ""https://www.zomato.com/melbourne/mamas-kitchen-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Da Massimo"", ""145.0241850000"", ""-37.9165570000"", ""Italian, Pizza"", ""3.9"", ""https://www.zomato.com/melbourne/da-massimo-bentleigh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Berwick,"[[""Ambrosia Cafe Bar Foodstore"", ""145.3469951078"", ""-38.0558926745"", ""Pizza, Tapas, Modern Australian"", ""3.8"", ""https://www.zomato.com/melbourne/ambrosia-cafe-bar-foodstore-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""The Main"", ""145.3479721025"", ""-38.0304994194"", ""Modern Australian"", ""3.3"", ""https://www.zomato.com/melbourne/the-main-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Berwick Thai Restaurant"", ""145.3439246491"", ""-38.0311984657"", ""Thai"", ""4.1"", ""https://www.zomato.com/melbourne/berwick-thai-restaurant-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Primary @ Pioneers Park"", ""145.3476850000"", ""-38.0287116000"", ""Cafe, Coffee and Tea"", ""3.5"", ""https://www.zomato.com/melbourne/primary-at-pioneers-park-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Little by Little Cafe"", ""145.3433370000"", ""-38.0365800000"", ""Cafe"", ""3.3"", ""https://www.zomato.com/melbourne/little-by-little-cafe-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Nomadic"", ""145.3452721238"", ""-38.0316138762"", ""Cafe, Modern Australian"", ""3.3"", ""https://www.zomato.com/melbourne/nomadic-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Shanikas Italian Trattoria"", ""145.3467446566"", ""-38.0311831486"", ""Italian"", ""3.9"", ""https://www.zomato.com/melbourne/shanikas-italian-trattoria-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""La Baguette Caf\u00e9"", ""145.3454441205"", ""-38.0318269943"", ""Cafe, French"", ""3.6"", ""https://www.zomato.com/melbourne/la-baguette-caf\u00e9-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Eighty One"", ""145.3477444500"", ""-38.0311741695"", ""Mediterranean, Modern Australian"", ""3.0"", ""https://www.zomato.com/melbourne/eighty-one-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Clover Cottage Restaurant"", ""145.3656780347"", ""-38.0328632623"", ""Modern Australian, Australian"", ""3.7"", ""https://www.zomato.com/melbourne/clover-cottage-restaurant-berwick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Boronia,"[[""Carlos Cantina"", ""145.2817230000"", ""-37.8612060000"", ""Mexican"", ""3.9"", ""https://www.zomato.com/melbourne/carlos-cantina-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Forage Food Store"", ""145.2828970000"", ""-37.8620720000"", ""Cafe"", ""3.2"", ""https://www.zomato.com/melbourne/forage-food-store-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Mum's Burger Kitchen"", ""145.2827924000"", ""-37.8618499000"", ""Burger"", ""3.4"", ""https://www.zomato.com/melbourne/mums-burger-kitchen-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Bangkok Gardens"", ""145.2826840000"", ""-37.8613240000"", ""Asian, Thai"", ""4.2"", ""https://www.zomato.com/melbourne/bangkok-gardens-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Bert's Cafe"", ""145.2834780000"", ""-37.8626560000"", ""Asian, Singaporean"", ""3.6"", ""https://www.zomato.com/melbourne/berts-cafe-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Mountain Thai"", ""145.2992435000"", ""-37.8439811000"", ""Asian, Thai"", ""3.7"", ""https://www.zomato.com/melbourne/mountain-thai-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Jimmyz Kebabs"", ""145.2855510000"", ""-37.8605280000"", ""Kebab, Burger"", ""3.1"", ""https://www.zomato.com/melbourne/jimmyz-kebabs-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Captain Gummy's Fish And Chips"", ""145.2858730000"", ""-37.8609200000"", ""Fish and Chips"", ""3.2"", ""https://www.zomato.com/melbourne/captain-gummys-fish-and-chips-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Siam Terrace"", ""145.2858730000"", ""-37.8609200000"", ""Asian, Thai"", ""3.8"", ""https://www.zomato.com/melbourne/siam-terrace-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Zagame's"", ""145.2864330000"", ""-37.8631890000"", ""Italian, Burger"", ""2.3"", ""https://www.zomato.com/melbourne/zagames-boronia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Brighton,"[[""Vivace"", ""145.0029300000"", ""-37.9054410000"", ""Italian"", ""3.9"", ""https://www.zomato.com/melbourne/vivace-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""The Little Ox \u00a0"", ""144.9952550000"", ""-37.8941800000"", ""Cafe"", ""3.8"", ""https://www.zomato.com/melbourne/the-little-ox-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""The Royale Brothers"", ""144.9930440000"", ""-37.9123770000"", ""Burger, Fast Food"", ""3.7"", ""https://www.zomato.com/melbourne/the-royale-brothers-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Pantry"", ""144.9929350000"", ""-37.9123990000"", ""Modern Australian, Cafe"", ""3.0"", ""https://www.zomato.com/melbourne/pantry-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Cafe Florentine"", ""144.9932560000"", ""-37.9130590000"", ""European, Cafe"", ""3.6"", ""https://www.zomato.com/melbourne/cafe-florentine-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Brighton Schoolhouse"", ""144.9921450000"", ""-37.9105230000"", ""Cafe"", ""3.2"", ""https://www.zomato.com/melbourne/brighton-schoolhouse-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""White Rabbit Restaurant"", ""144.9956530000"", ""-37.9155550000"", ""Modern Australian"", ""3.4"", ""https://www.zomato.com/melbourne/white-rabbit-restaurant-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Fox in the Box"", ""145.0048752000"", ""-37.8974288000"", ""Healthy Food, Modern Australian"", ""3.3"", ""https://www.zomato.com/melbourne/fox-in-the-box-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Middle Brighton Baths Cafe"", ""144.9855852000"", ""-37.9101092000"", ""Modern Australian, Cafe"", ""2.7"", ""https://www.zomato.com/melbourne/middle-brighton-baths-cafe-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Irori"", ""145.0043330000"", ""-37.9056130000"", ""Japanese, Sushi"", ""4.5"", ""https://www.zomato.com/melbourne/irori-brighton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Brunswick,"[[""Kumo Izakaya & Sake Bar"", ""144.9715066329"", ""-37.7735130857"", ""Japanese"", ""3.7"", ""https://www.zomato.com/melbourne/kumo-izakaya-sake-bar-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""400 Gradi"", ""144.9708437920"", ""-37.7759506542"", ""Italian, Pizza"", ""3.6"", ""https://www.zomato.com/melbourne/400-gradi-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Hellenic Republic"", ""144.9730572850"", ""-37.7644863861"", ""Greek, Mediterranean"", ""4.0"", ""https://www.zomato.com/melbourne/hellenic-republic-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Tiba's Lebanese"", ""144.9624089152"", ""-37.7661696832"", ""Middle Eastern"", ""3.8"", ""https://www.zomato.com/melbourne/tibas-lebanese-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Code Black Coffee"", ""144.9624680000"", ""-37.7746430000"", ""Cafe"", ""3.5"", ""https://www.zomato.com/melbourne/code-black-coffee-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Brunswick Mess Hall"", ""144.9623880000"", ""-37.7685610000"", ""Asian"", ""3.7"", ""https://www.zomato.com/melbourne/brunswick-mess-hall-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Wide Open Road"", ""144.9612270000"", ""-37.7762870000"", ""Cafe, Vegetarian, Coffee and Tea"", ""3.7"", ""https://www.zomato.com/melbourne/wide-open-road-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Green Refectory"", ""144.9606654793"", ""-37.7748111181"", ""Cafe, Modern Australian, Coffee and Tea"", ""3.8"", ""https://www.zomato.com/melbourne/green-refectory-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Lux Foundry"", ""144.9597166667"", ""-37.7640694444"", ""Cafe"", ""3.9"", ""https://www.zomato.com/melbourne/lux-foundry-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Shinwa Japanese Grill and Sushi Bar"", ""144.9607050000"", ""-37.7741110000"", ""Japanese, Bar Food"", ""3.7"", ""https://www.zomato.com/shinwa3056?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Bundoora,"[[""Narai Thai"", ""145.0591580000"", ""-37.7001880000"", ""Thai"", ""3.8"", ""https://www.zomato.com/melbourne/narai-thai-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Maney's Dumpling"", ""145.0585325807"", ""-37.6944515882"", ""Dumplings, Chinese"", ""3.6"", ""https://www.zomato.com/melbourne/maneys-dumpling-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Polaris Dumpling Kitchen"", ""145.0480813533"", ""-37.7129967971"", ""Asian, Chinese, Dumplings"", ""2.8"", ""https://www.zomato.com/melbourne/polaris-dumpling-kitchen-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Lucky Little Dumplings"", ""145.0716157258"", ""-37.6813303695"", ""Chinese, Dumplings, Asian"", ""3.2"", ""https://www.zomato.com/melbourne/lucky-little-dumplings-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Namaste Indian"", ""145.0583190000"", ""-37.6944470000"", ""Indian"", ""4.2"", ""https://www.zomato.com/melbourne/namaste-indian-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""La Salita"", ""145.0722310000"", ""-37.6855420000"", ""Italian, Pizza, Modern Australian"", ""3.6"", ""https://www.zomato.com/melbourne/la-salita-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Vorea Polaris"", ""145.0480545312"", ""-37.7119183566"", ""Cafe, Steakhouse"", ""3.3"", ""https://www.zomato.com/melbourne/vorea-polaris-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Nat's Place"", ""145.0586895000"", ""-37.6993507000"", ""Italian, Pizza, Sandwich"", ""3.3"", ""https://www.zomato.com/melbourne/nats-place-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Pho 5 Star"", ""145.0582854822"", ""-37.7007500309"", ""Vietnamese"", ""3.4"", ""https://www.zomato.com/melbourne/pho-5-star-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Degani"", ""145.0707624480"", ""-37.6822566837"", ""Cafe"", ""3.2"", ""https://www.zomato.com/melbourne/degani-bundoora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Camberwell,"[[""The Bakers Wife"", ""145.0544890000"", ""-37.8449090000"", ""Cafe, Sandwich"", ""3.9"", ""https://www.zomato.com/melbourne/the-bakers-wife-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Legacy"", ""145.0603780000"", ""-37.8336630000"", ""Cafe"", ""3.7"", ""https://www.zomato.com/melbourne/legacy-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""The Meat & Wine Co"", ""145.0566724000"", ""-37.8313618000"", ""BBQ, Steakhouse"", ""3.4"", ""https://www.zomato.com/melbourne/the-meat-wine-co-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Prospect Espresso"", ""145.0575591000"", ""-37.8282449000"", ""Cafe, Coffee and Tea"", ""3.9"", ""https://www.zomato.com/melbourne/prospect-espresso-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Fordham's Milk Bar"", ""145.0764892995"", ""-37.8444397286"", ""Cafe"", ""3.9"", ""https://www.zomato.com/melbourne/fordhams-milk-bar-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Sofia's Restaurant"", ""145.0573291000"", ""-37.8274370000"", ""Italian"", ""2.5"", ""https://www.zomato.com/melbourne/sofias-restaurant-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Collective Espresso"", ""145.0578920000"", ""-37.8261450000"", ""Cafe"", ""3.6"", ""https://www.zomato.com/melbourne/collective-espresso-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Santucci's"", ""145.0940860000"", ""-37.8505010000"", ""Cafe"", ""4.0"", ""https://www.zomato.com/melbourne/santuccis-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Bella Sistas"", ""145.0634770000"", ""-37.8468700000"", ""Cafe"", ""4.5"", ""https://www.zomato.com/melbourne/bella-sistas-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Miss Korea Kitchen"", ""145.0570690000"", ""-37.8278270000"", ""Asian, Japanese, Korean"", ""3.7"", ""https://www.zomato.com/melbourne/miss-korea-kitchen-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
Carnegie,"[[""Left Field"", ""145.0550070000"", ""-37.9016530000"", ""Cafe, Coffee and Tea"", ""4.2"", ""https://www.zomato.com/melbourne/left-field-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Paradai Thai"", ""145.0574234873"", ""-37.8869625825"", ""Thai"", ""3.5"", ""https://www.zomato.com/melbourne/paradai-thai-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Shyun"", ""145.0573730000"", ""-37.8884580000"", ""Sushi, Japanese"", ""3.8"", ""https://www.zomato.com/melbourne/shyun-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Mrs Kim's Grill"", ""145.0574820000"", ""-37.8887120000"", ""BBQ, Korean"", ""3.9"", ""https://www.zomato.com/melbourne/mrs-kims-grill-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Huff Bagelry"", ""145.0574340000"", ""-37.8881110000"", ""Cafe"", ""4.1"", ""https://www.zomato.com/melbourne/huff-bagelry-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Auntie's Dumpling Restaurant"", ""145.0575901195"", ""-37.8869419431"", ""Chinese, Dumplings"", ""3.6"", ""https://www.zomato.com/melbourne/aunties-dumpling-restaurant-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Kimchi Grandma"", ""145.0569219000"", ""-37.8886273000"", ""Korean"", ""3.5"", ""https://www.zomato.com/melbourne/kimchi-grandma-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Paradai II Thai"", ""145.0576196238"", ""-37.8867889995"", ""Thai"", ""4.0"", ""https://www.zomato.com/melbourne/paradai-ii-thai-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Platform 3"", ""145.0573170000"", ""-37.8852980000"", ""Cafe, Tapas"", ""3.5"", ""https://www.zomato.com/melbourne/platform-3-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""], [""Spilt Milk"", ""145.0566858798"", ""-37.8890053273"", ""Cafe"", ""3.8"", ""https://www.zomato.com/melbourne/spilt-milk-carnegie?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1""]]"
