region_id,Tot_P_P,Name,AreaSQKM
SSC21139,47637,Reservoir,19.122
SSC20125,44779,Berwick,33.9577
SSC20535,39204,Glen Waverley,16.8395
SSC21452,37737,Werribee,24.1826
SSC20637,37598,Hoppers Crossing,18.0991
SSC21248,35091,St Albans,12.7875
SSC20502,35009,Frankston,19.7452
SSC21169,34145,Rowville,21.648
SSC21280,34030,Sunbury,132.223
SSC21063,33999,Pakenham,86.4842
SSC20343,32757,Craigieburn,35.3213
SSC21093,32413,Point Cook,36.9487
SSC20949,32076,Mount Waverley,15.1849
SSC20893,30647,Mildura,76.1514
SSC20894,30517,Mill Park,13.0617
SSC21113,29925,Preston,11.3127
SSC21211,29553,Shepparton,34.499
SSC20988,28594,Narre Warren South,13.0032
SSC21434,28413,Warrnambool,75.7427
SSC21022,28377,Noble Park,8.56144
SSC20867,28371,Melbourne,6.23214
SSC20406,27047,Doncaster East,11.172
SSC20466,26346,Epping,21.9994
SSC20121,25925,Bentleigh East,9.18711
SSC20985,25882,Narre Warren,14.1771
SSC20212,25709,Bundoora,16.8785
SSC20486,25585,Ferntree Gully,13.7961
SSC20311,24977,Coburg,6.93372
SSC20534,24948,Glen Iris,8.58582
SSC20366,24919,Dandenong,11.1605
SSC20463,24574,Endeavour Hills,15.2074
SSC20703,23876,Kew,10.6475
SSC21364,23834,Traralgon,55.4252
SSC21142,23814,Richmond,4.47585
SSC20591,23767,Hampton Park,13.3359
SSC20354,23553,Croydon,14.1958
SSC21035,22920,Northcote,5.84938
SSC20193,22764,Brunswick,5.14247
SSC20926,22421,Mornington,21.0899
SSC20367,21910,Dandenong North,9.53536
SSC21308,21690,Tarneit,26.2106
SSC20769,21371,Langwarrin,28.8443
SSC20181,21257,Brighton,8.2005
SSC20603,21177,Hawthorn,5.73081
SSC21237,20873,South Morang,21.4519
SSC20163,20825,Boronia,11.2635
SSC20921,20689,Mooroolbark,12.5439
SSC20571,20552,Greensborough,10.1729
SSC20263,20366,Caroline Springs,8.33739
SSC21331,20331,Thomastown,14.6842
SSC20067,20317,Balwyn North,8.99584
SSC20283,20292,Cheltenham,10.1216
SSC20835,20066,Malvern East,7.56791
SSC20237,20029,Camberwell,7.29157
SSC20705,19885,Keysborough,21.6653
SSC20762,19873,Lalor,12.0642
SSC21246,19771,Springvale,11.1058
SSC20547,19664,Glenroy,8.84869
SSC21170,19235,Roxburgh Park,6.74033
SSC21240,19134,South Yarra,3.64949
SSC20266,19122,Carrum Downs,20.3078
SSC21463,19105,Wheelers Hill,10.4509
SSC20470,18852,Essendon,6.15749
SSC20017,18746,Altona Meadows,10.5401
SSC20344,18622,Cranbourne,13.0266
SSC20405,18359,Doncaster,8.77437
SSC20458,18162,Eltham,16.3133
SSC21255,17795,St Kilda,3.17944
SSC20955,17647,Mulgrave,10.7221
SSC20504,17612,Frankston South,14.5605
SSC21420,17477,Wantirna South,13.9391
SSC21333,17434,Thornbury,5.2928
SSC21513,17304,Wyndham Vale,128.24
SSC20939,17248,Mount Eliza,23.21
SSC21417,17170,Wangaratta,49.1804
SSC20944,17087,Mount Martha,30.1925
SSC21284,16743,Sunshine West,9.64775
SSC20629,16657,Highton,11.8063
SSC21487,16487,Wodonga,45.6207
SSC21324,16484,Templestowe,16.1172
SSC20632,16326,Hillside (Melton - Vic.),8.20501
SSC20261,16299,Carnegie,3.80466
SSC20380,16204,Deer Park,8.07844
SSC21320,16095,Taylors Lakes,7.47542
SSC21193,16033,Seaford,12.4317
SSC21144,16009,Ringwood,9.91613
SSC20182,15814,Brighton East,5.6652
SSC20790,15649,Lilydale,29.1318
SSC20296,15543,Clayton,8.31307
SSC20335,15072,Corio,18.9635
